p1_age,p2_gender,p20_linear_regression,p20_logistic_regression,p20_glms,p20_decision_tree,p20_random_forest,p20_neural_networks,p20_bayesian_inference,p20_ensemble,p20_svms,p20_cnns,p20_rnns,p20_hmms,p20_gans,p20_markov_chains,p20_nlp,p20_gradient_boosted_machines,p20_cluster_analysis,p20_survival_analysis,p20_longitudinal_data_analysis,p20_jointanalysis,p20_no_listed_methods,p21_sql_,p21_r,p21_python,p21_c_c++_c#,p21_dotnet,p21_java,p21_julia,p21_sas_stata,p21_visual_basic_vba,p21_scala,p21_matlab,p21_php,p21_no_listed_languages,p26_mysql,p26_oracle,p26_sql_server,p26_aurora,p26_dynamodb,p26_coachdb,p26_cassandra,p26_mongodb,p26_mariadb,p26_datomic,p26_s3,p26_postgresql,p26_elaticsearch,p26_db2,p26_ms_access,p26_sqlite,p26_sybase,p26_firebase,p26_vertica,p26_redis,p26_neo4j,p26_google_bigtable,p26_hbase,p26_other,p27_microsoft_powerbi,p27_qlik_view_qlik_sense,p27_tableau,p27_metabase,p27_superset,p27_redash,p27_microstrategy,p27_ibm_analytics_cognos,p27_sap_business_objects,p27_oracle_business_intelligence,p27_birst,p27_looker,p27_google_data_studio,p27_only_excel_gsheets,p27_no_bi_tool_at_work,p27_other,p34_udacity,p34_coursera,p34_udemy,p34_height,p34_edx,p34_data_camp,p34_data_quest,p34_kaggle_learn,p34_online_courses,p34_other
37.0,Masculino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24.0,Feminino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
26.0,Masculino,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
21.0,Masculino,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
27.0,Masculino,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
27.0,Masculino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
34.0,Masculino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
37.0,Feminino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
26.0,Masculino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
28.0,Masculino,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
